tahun,propinsi,nama_bandara,kota,tipe_penerbangan,pesawat_datang,pesawat_berangkat,penumpang_datang,penumpang_berangkat,penumpang_total,penumpang_transit,barang_total_kg,bagasi_total_kg
2020,PROPINSI SUMATERA BARAT,MINANGKABAU,PADANG,DOMESTIK,5896.0,5885.0,622362.0,581037.0,1203399.0,5602.0,11042758.0,6689028.0
2021,PROPINSI SUMATERA BARAT,MINANGKABAU,PADANG,DOMESTIK,5.0,5137.0,532492.0,541822.0,1074314.0,0.0,10051117.0,0.0
2022,PROPINSI SUMATERA BARAT,MINANGKABAU,PADANG,DOMESTIK,7115.0,7112.0,918164.0,945056.0,1863220.0,477.0,8432004.0,16414869.0
2023,PROPINSI SUMATERA BARAT,MINANGKABAU,PADANG,DOMESTIK,7.0,7836.0,1044639.0,1058021.0,2102660.0,102.0,8361721.0,18097869.0
2024,PROPINSI SUMATERA BARAT,MINANGKABAU,PADANG,DOMESTIK,7566.0,7556.0,1001317.0,1014114.0,2015431.0,1146.0,10465630.0,18961237.0
2020,PROPINSI SUMATERA BARAT,MINANGKABAU,PADANG,INTERNASIONAL,252.0,253.0,32625.0,30.0,62715.0,0.0,144403.0,597651.0
2021,PROPINSI SUMATERA BARAT,MINANGKABAU,PADANG,INTERNASIONAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,PROPINSI SUMATERA BARAT,MINANGKABAU,PADANG,INTERNASIONAL,109.0,110.0,11.0,12052.0,23792.0,0.0,0.0,324492.0
2023,PROPINSI SUMATERA BARAT,MINANGKABAU,PADANG,INTERNASIONAL,1125.0,1133.0,146976.0,150695.0,297671.0,2.0,14493.0,3304446.0
2024,PROPINSI SUMATERA BARAT,MINANGKABAU,PADANG,INTERNASIONAL,1.0,1489.0,221779.0,223388.0,445167.0,0.0,59679.0,4566851.0
2020,PROPINSI SUMATERA BARAT,ROKOT,SIPORA,DOMESTIK,41.0,41.0,91.0,92.0,183.0,0.0,0.0,675.0
2021,PROPINSI SUMATERA BARAT,ROKOT,SIPORA,DOMESTIK,122.0,122.0,447.0,623.0,1.0,0.0,0.0,5045.0
2022,PROPINSI SUMATERA BARAT,ROKOT,SIPORA,DOMESTIK,108.0,110.0,587.0,763.0,1.0,0.0,0.0,6496.0
2023,PROPINSI SUMATERA BARAT,ROKOT,SIPORA,DOMESTIK,125.0,129.0,896.0,1142.0,2038.0,0.0,0.0,11462.0
2024,PROPINSI SUMATERA BARAT,ROKOT,SIPORA,DOMESTIK,137.0,136.0,1081.0,1235.0,2316.0,0.0,5.0,12341.0
2020,PROPINSI R I A U,SULTAN SYARIF KASIM II,PEKANBARU,DOMESTIK,7208.0,7226.0,687676.0,655501.0,1343177.0,7982.0,17096057.0,6817811.0
2021,PROPINSI R I A U,SULTAN SYARIF KASIM II,PEKANBARU,DOMESTIK,6341.0,6336.0,598295.0,604874.0,1203169.0,2737.0,14449970.0,9474888.0
2022,PROPINSI R I A U,SULTAN SYARIF KASIM II,PEKANBARU,DOMESTIK,8761.0,8756.0,1089765.0,1109731.0,2199496.0,3034.0,14147882.0,16749576.0
2023,PROPINSI R I A U,SULTAN SYARIF KASIM II,PEKANBARU,DOMESTIK,9.0,9979.0,1202105.0,1207666.0,2409771.0,1.0,17002114.0,17807841.0
2024,PROPINSI R I A U,SULTAN SYARIF KASIM II,PEKANBARU,DOMESTIK,9519.0,9521.0,1228762.0,1245780.0,2474542.0,1117.0,20279128.0,18802980.0
2020,PROPINSI R I A U,SULTAN SYARIF KASIM II,PEKANBARU,INTERNASIONAL,487.0,483.0,36.0,33241.0,69291.0,3.0,93115.0,585535.0
2021,PROPINSI R I A U,SULTAN SYARIF KASIM II,PEKANBARU,INTERNASIONAL,19.0,22.0,13.0,93.0,106.0,0.0,0.0,0.0
2022,PROPINSI R I A U,SULTAN SYARIF KASIM II,PEKANBARU,INTERNASIONAL,322.0,324.0,20503.0,21.0,42393.0,1.0,129.0,474787.0
2023,PROPINSI R I A U,SULTAN SYARIF KASIM II,PEKANBARU,INTERNASIONAL,1613.0,1603.0,168285.0,173499.0,341784.0,6.0,16061.0,3242104.0
2024,PROPINSI R I A U,SULTAN SYARIF KASIM II,PEKANBARU,INTERNASIONAL,1845.0,1.0,232559.0,237197.0,469756.0,2.0,29443.0,4155321.0
2020,PROPINSI R I A U,JAPURA,RENGAT,DOMESTIK,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,PROPINSI R I A U,JAPURA,RENGAT,DOMESTIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,PROPINSI R I A U,JAPURA,RENGAT,DOMESTIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,PROPINSI R I A U,JAPURA,RENGAT,DOMESTIK,37.0,36.0,81.0,78.0,159.0,0.0,0.0,1.0
2024,PROPINSI R I A U,JAPURA,RENGAT,DOMESTIK,110.0,110.0,966.0,1187.0,2153.0,0.0,27.0,13176.0
2020,PROPINSI R I A U,PASIR PANGARAIAN,ROKAN HULU,DOMESTIK,36.0,36.0,224.0,228.0,452.0,0.0,0.0,4032.0
2021,PROPINSI R I A U,PASIR PANGARAIAN,ROKAN HULU,DOMESTIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,PROPINSI R I A U,PASIR PANGARAIAN,ROKAN HULU,DOMESTIK,85.0,85.0,506.0,653.0,1159.0,0.0,0.0,8939.0
2023,PROPINSI R I A U,PASIR PANGARAIAN,ROKAN HULU,DOMESTIK,53.0,53.0,481.0,538.0,1019.0,0.0,0.0,8572.0
2024,PROPINSI R I A U,PASIR PANGARAIAN,ROKAN HULU,DOMESTIK,105.0,105.0,1.0,1064.0,2074.0,0.0,0.0,10894.0
2020,PROPINSI KEPULAUAN RIAU,HANG NADIM,BATAM,DOMESTIK,11602.0,11621.0,1340861.0,1147704.0,2488565.0,184566.0,29541932.0,13227994.0
2021,PROPINSI KEPULAUAN RIAU,HANG NADIM,BATAM,DOMESTIK,10036.0,10045.0,1020966.0,1043543.0,2064509.0,168185.0,30250869.0,15549527.0
2022,PROPINSI KEPULAUAN RIAU,HANG NADIM,BATAM,DOMESTIK,13268.0,13266.0,1780400.0,1680588.0,3460988.0,162965.0,30020805.0,29513367.0
2023,PROPINSI KEPULAUAN RIAU,HANG NADIM,BATAM,DOMESTIK,14155.0,14091.0,1966007.0,1902089.0,3868096.0,52123.0,29992353.0,32272270.0
2024,PROPINSI KEPULAUAN RIAU,HANG NADIM,BATAM,DOMESTIK,14541.0,14.0,1914692.0,1919245.0,3833937.0,253769.0,35572296.0,28954928.0
2020,PROPINSI KEPULAUAN RIAU,HANG NADIM,BATAM,INTERNASIONAL,411.0,384.0,5548.0,5597.0,11145.0,115.0,131511.0,80583.0
2021,PROPINSI KEPULAUAN RIAU,HANG NADIM,BATAM,INTERNASIONAL,178.0,177.0,36.0,341.0,377.0,0.0,110163.0,3846.0
2022,PROPINSI KEPULAUAN RIAU,HANG NADIM,BATAM,INTERNASIONAL,465.0,453.0,13979.0,14126.0,28105.0,408.0,95.0,375801.0
2023,PROPINSI KEPULAUAN RIAU,HANG NADIM,BATAM,INTERNASIONAL,631.0,666.0,23.0,20513.0,44333.0,555.0,11477.0,522054.0
2024,PROPINSI KEPULAUAN RIAU,HANG NADIM,BATAM,INTERNASIONAL,609.0,691.0,40791.0,44265.0,85056.0,353.0,271019.0,1085201.0
2020,PROPINSI KEPULAUAN RIAU,RAJA HAJI FISABILILLAH,TANJUNG PINANG,DOMESTIK,1205.0,1213.0,58989.0,60527.0,119516.0,66.0,2988186.0,503936.0
2021,PROPINSI KEPULAUAN RIAU,RAJA HAJI FISABILILLAH,TANJUNG PINANG,DOMESTIK,1453.0,1448.0,63673.0,64669.0,128342.0,691.0,5056392.0,917371.0
2022,PROPINSI KEPULAUAN RIAU,RAJA HAJI FISABILILLAH,TANJUNG PINANG,DOMESTIK,1958.0,1.0,104747.0,102075.0,206822.0,0.0,4720435.0,1587524.0
